,size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
440,254462,50877,136,3,11,2,0,2,1,1,68,8,68.0,8.0,53,599,30,where is the relief money for texas hurricane victims please share comments
441,367440,61227,140,3,11,2,0,2,1,1,70,8,70.0,8.0,54,609,31,2017 chicago cubs regular season highlights to get you pumped for nlds comments
442,391212,65189,143,3,11,2,0,2,1,1,33,8,33.0,8.0,55,641,33,ravens take exception to the boos comments
443,407238,67860,140,3,11,5,0,5,1,1,57,8,57.0,8.0,55,691,35,regular season openerblackhawks vs penguins101 win recap comments
444,372990,62152,138,3,11,2,0,2,1,1,45,8,45.0,8.0,53,615,31,andrew black and the road to exchange betting comments
445,568608,94755,170,3,11,2,0,2,1,2,41,51,41.0,25.5,76,777,33,the next financial crisis is not far away emigrate while you still can learn more comments
446,351780,58617,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,64 yo stephen paddock identified as the gunman behind lv mass shooting comments
447,288242,57633,140,3,11,6,0,6,1,1,83,8,83.0,8.0,56,643,32,107 chuck axed hbd brickyard adam moonlight ace chuck as season finales comments
448,352002,58654,138,3,11,2,0,2,1,1,63,8,63.0,8.0,54,603,30,“racist propaganda” librarian rejects books donated by melania comments
449,240534,40076,44,0,5,2,0,2,2,1,107,29,53.5,29.0,13,296,30,isis releases hit list of 100 us military personnel urging followers to hunt them down the group is urging its followers in the united states to hunt isis releases “hit list” of 100 us military personnel urging followers to “hunt them down” post navigation subscribe to our mailing list
450,347910,57972,136,3,11,2,0,2,1,1,75,8,75.0,8.0,53,598,30,apollo 17 and the mystery of the last moon landing why haven’t we returned comments
451,239934,39976,40,0,5,2,0,2,2,1,78,29,39.0,29.0,14,297,30,man finds note in sf airport you wont believe what was inside there are times when people just need to reach out and tell their story and leave it in man finds note in sf airport you won’t believe what was inside post navigation subscribe to our mailing list
452,394896,65803,137,3,11,3,0,3,1,1,79,8,79.0,8.0,54,664,32,waiver worthy week 4 wendell smallwood sterling shepard duke johnson more comments
453,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
454,380640,63427,139,3,11,4,0,4,1,1,88,8,88.0,8.0,54,649,34,the ditch list week 4 fallout breaking down four players it may be time to cut bait on comments
455,357300,59537,141,3,11,2,0,2,1,1,55,8,55.0,8.0,53,610,30,the walking dead season 8 season premiere sneak peak comments
456,223998,37320,43,0,5,2,0,2,2,1,61,29,30.5,29.0,13,295,31,worst roller coaster accidents caught on video this video you are about to watch is very disturbing it shows some of the worst amusement park accidents worst roller coaster accidents caught on video post navigation subscribe to our mailing list
457,2158,421,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
458,257472,51479,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,avid hunter don jr on gun silencers ‘its just a great instrument’ comments
459,353166,58848,138,3,11,2,0,2,1,1,63,8,63.0,8.0,54,603,30,trump says very important nfl players stand for anthem sunday comments
460,370854,61796,141,3,11,2,0,2,1,1,45,8,45.0,8.0,54,610,31,chicago cubs clinch nl central division title comments
461,257412,51467,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,teacher told students they were ‘too darkskinned’ to play lincoln comments
462,363114,60506,140,3,11,2,0,2,1,1,66,8,66.0,8.0,53,609,30,diamondbacks take wild nl wildcard game will face dodgers next comments
463,256702,51325,138,3,11,2,0,2,1,1,62,8,62.0,8.0,54,603,30,chinese police orders uyghur muslims to hand in the holy quran comments
464,278327,55650,143,3,11,2,0,2,1,1,60,8,60.0,8.0,57,632,31,are the niners ready to turn the corner only time will tell comments
465,352536,58743,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,bar owner doesnt think lynch kaepernick doormat is racist really comments
466,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
467,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
468,351966,58648,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,trump’s kids allegedly used political clout to get fraud case dropped comments
469,351450,58562,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,kushner’s lawyer is so smart he emailed a senate letter to a prankster comments
470,281897,56364,139,3,11,5,0,5,1,1,98,8,98.0,8.0,55,630,32,930 expo parkforbes field era temple cup 08 race mo bros kiner wallops herman deal k mart comments
471,363870,60632,140,3,11,2,0,2,1,1,70,8,70.0,8.0,53,609,30,new york police operation ends side career of mickey d’s night manager comments
472,351546,58578,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,ellen degeneres says she will never host president trump on her show comments
473,221412,36889,41,0,5,2,0,2,2,1,105,29,52.5,29.0,13,284,30,caitlyn jenner confronts jimmy kimmel for making fun of her plan to pick oj up from prison post navigation subscribe to our mailing list
474,364794,60786,140,3,11,2,0,2,1,1,34,8,34.0,8.0,54,636,34,puckin hostile shoutcastepisode 91 comments
475,362100,60337,142,3,11,2,0,2,1,1,39,8,39.0,8.0,54,614,30,save the children – af branco cartoon comments
476,261387,52262,139,3,11,2,0,2,1,1,27,8,27.0,8.0,53,620,31,ravens raiders – thursday comments
477,392178,65350,147,3,11,2,0,2,1,1,34,8,34.0,8.0,58,637,31,mac’s “scraps” continue to impress comments
478,298477,59680,140,3,11,6,0,6,1,1,103,8,103.0,8.0,56,648,32,103 happenings hbd cap johnny dog tomato ismael wil alex frankie gene hired clarke retires comments
479,351570,58582,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,aung san suu kyi stripped of oxford honor amid ethnic cleansing claims comments
480,282747,56534,139,3,11,5,0,5,1,1,110,8,110.0,8.0,55,630,32,105 expo parkforbes field bucs win 60 opener lose 27 puds 300 hbd claude felix sarge grays win ws comments
481,372516,62073,147,3,11,2,0,2,1,1,69,8,69.0,8.0,57,625,32,cam newton tweets out apology video after laughing at female reporter comments
482,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
483,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
484,351558,58580,138,3,11,2,0,2,1,1,67,8,67.0,8.0,54,603,30,sticker proclaiming ‘kkk wants you’ found at a portland high school comments
485,364992,60819,141,3,11,2,0,2,1,1,78,8,78.0,8.0,53,610,30,michigan state spartans break archrival wolverines’ hearts with huge road win comments
486,377664,62931,139,3,11,3,0,3,1,1,44,8,44.0,8.0,55,633,32,bucs finish up homestand on winning note 53 comments
487,264828,44125,40,0,5,2,0,2,2,1,128,29,64.0,29.0,13,314,32,category 6 if hurricane irma becomes the strongest hurricane in history it could wipe entire cities off the map post navigation subscribe to our mailing list
488,257417,51468,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,this high school is threatening to ban players who kneel during anthem comments
489,269457,53876,144,3,11,3,0,3,1,1,53,8,53.0,8.0,59,651,30,2017 fantasy football quarterback rankings â week 5 comments
490,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
491,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
492,226416,37723,43,0,5,2,0,2,2,1,94,29,47.0,29.0,13,291,29,man accused to smuggling drugs inside his dog how it got there will shock you a peruvian man was arrested for trying to smuggle over 6 pounds of cocaine man accused to smuggling drugs inside his dog how it got there will shock you post navigation subscribe to our mailing list
493,257002,51385,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,kushner’s lawyer is so smart he emailed a senate letter to a prankster comments
494,236970,39482,43,0,5,2,0,2,2,1,117,29,58.5,29.0,14,314,30,according to radar online legal documents detail how usher had ‘rigorous unprotected sex’ without disclosing he had the virus let it burn usher cut a 11 million check to a woman he infected with herpes court documents added post navigation subscribe to our mailing list
495,266942,53373,137,3,11,2,0,2,1,1,63,8,63.0,8.0,54,602,30,chicago cubs accomplish rare franchise feat with nl central win comments
496,407538,67910,141,3,11,7,0,7,1,1,92,8,92.0,8.0,57,659,32,109 hbd bob moosecricket starling six more rip tiger moose danny hired hans title comments
497,381108,63505,139,3,11,5,0,5,1,1,90,8,90.0,8.0,55,631,32,927 trspnc era bucs clinch in 70 92 hbd pedro vin giles goes wild game stories comments
498,363024,60491,141,3,11,2,0,2,1,1,56,8,56.0,8.0,53,610,30,mlb post season monday who’s playing and where to watch comments
499,351834,58626,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,sheriff won’t charge the teens who talked about lynching a student comments
500,351876,58633,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,trump successfully introduced nepotism into the white house comments
501,351624,58591,138,3,11,2,0,2,1,1,57,8,57.0,8.0,54,603,30,wake up america it’s time to repeal the second amendment comments
502,257557,51496,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,man to howard university students ‘it’s not murder if they’re black’ comments
503,365202,60854,137,3,11,3,0,3,1,1,76,8,76.0,8.0,54,619,32,player to monitor will teoscar hernandez emerge as a viable fantasy option comments
504,364698,60770,137,3,11,2,0,2,1,1,73,8,73.0,8.0,54,625,31,young dread one of the most followed artists has released his new album comments
505,288032,57591,140,3,11,2,0,2,1,1,65,8,65.0,8.0,54,609,31,lambeau field has become a house of horrors for the chicago bears comments
506,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
507,362904,60471,143,3,11,2,0,2,1,1,35,8,35.0,8.0,57,619,31,jets beat dolphins ny jets podcast comments
508,398430,66392,137,3,11,2,0,2,1,1,100,8,100.0,8.0,54,637,32,10 important stories from 092817 box scores is pham for real the outlook for e rodriguez more comments
509,351420,58557,138,3,11,2,0,2,1,1,63,8,63.0,8.0,54,603,30,jared kushner has been reportedly voting as a woman for 8 years comments
510,351864,58631,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,paul ryan is the last person to blame mass shootings on mental illness comments
511,257197,51424,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
512,368520,61407,140,3,11,2,0,2,1,1,49,8,49.0,8.0,54,613,32,dave doeren has finally gotten that signature win comments
513,384156,64013,141,3,11,2,0,2,1,1,62,8,62.0,8.0,55,630,33,equifax exposed major breach of data from major credit bureau comments
514,387468,64565,148,3,11,2,0,2,1,1,54,8,54.0,8.0,63,644,32,passing game film review – mcfrown – week 3 dolphins comments
515,298367,59658,137,3,11,2,0,2,1,1,110,8,110.0,8.0,54,637,32,10 important stories from 092417 box scores devers delivering andersongiolito are regression risks more comments
516,369402,61554,137,3,11,2,0,2,1,1,65,8,65.0,8.0,53,600,31,chicago based rock band introduce us to the lost art of empathy comments
517,257417,51468,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,this high school is threatening to ban players who kneel during anthem comments
518,272732,54531,150,3,11,3,0,3,1,1,54,8,54.0,8.0,59,658,30,2017 fantasy football team defense rankings â week 5 comments
519,517644,86261,161,3,15,3,0,3,1,1,58,8,58.0,8.0,64,757,34,las vegas shooting from 64th floor of mandalay bay video comments
520,366456,61063,137,3,11,4,0,4,1,1,74,8,74.0,8.0,54,623,32,will a strong finishpostseason keep kris bryant as a 2018 1st round pick comments
521,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
522,482736,80443,164,3,31,7,0,7,1,1,46,8,46.0,8.0,104,811,32,nsfw vegas shooting victims graphic and gore comments
523,369906,61638,150,3,11,3,0,3,1,1,52,8,52.0,8.0,59,655,30,2017 fantasy football team defense rankings – week 4 comments
524,270487,54082,139,3,11,2,0,2,1,1,73,8,73.0,8.0,54,608,31,brandon saad records hat trick in first game back with chicago blackhawks comments
525,289997,57984,138,3,11,2,0,2,2,4,58,82,29.0,20.5,53,683,31,betting on cs go with bitcoin betting on cs go with bitcoin what is bitcoin why go for bitcoins when playing cs go winning cs go skins comments
526,261182,52221,139,3,11,2,0,2,1,1,28,8,28.0,8.0,53,618,31,ravens raiders – wednesday comments
527,352278,58700,138,3,11,2,0,2,1,1,61,8,61.0,8.0,54,603,30,fire chief calls pittsburgh steelers coach a no good n comments
528,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
529,282837,56552,139,3,11,5,0,5,1,1,104,8,104.0,8.0,55,631,32,104 trspnc park era reds thump buc 3x in playoffs cole beats cards bucs clich in 15 syd jr axed comments
530,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
531,391278,65200,145,3,11,2,0,2,1,1,107,8,107.0,8.0,54,663,32,souleye new age hip hop rapper announces the eagerly awaited album wildman releasing september 22 2017 comments
532,385542,64244,141,3,11,2,0,2,1,1,61,8,61.0,8.0,54,610,31,jordan howard has fought his whole career for the tough yards comments
533,408048,67995,137,3,11,2,0,2,1,1,96,8,96.0,8.0,53,645,33,10 important stories from 092617 box scores montgomery’s strong start harper’s return more comments
534,270282,54041,140,3,11,2,0,2,1,1,67,8,67.0,8.0,54,614,32,virginia’s hammering of boise state changes outlook for the season comments
535,526824,87791,221,3,11,2,0,2,1,1,27,8,27.0,8.0,53,770,33,alex collins worth a start comments
536,278562,55697,152,3,11,3,0,3,1,1,45,8,45.0,8.0,59,677,30,2017 fantasy football idp rankings â week 5 comments
537,367362,61214,140,3,11,2,0,2,1,1,59,8,59.0,8.0,54,612,32,virginia tech is right on schedule despite loss to clemson comments
538,264817,52948,139,3,13,3,0,3,1,1,26,8,26.0,8.0,59,627,32,amazing f16 night takeoff comments
539,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
540,365322,60874,141,3,11,2,0,2,1,1,37,8,37.0,8.0,54,640,34,puckin hostile shoutcast episode 90 comments
541,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
542,407334,67876,143,3,11,2,0,2,1,1,24,8,24.0,8.0,59,680,32,5 stages of grief – sad comments
543,353280,58867,139,3,11,2,0,2,1,1,16,8,16.0,8.0,54,603,30,inside broadmoor comments
544,256887,51362,138,3,11,2,0,2,1,1,61,8,61.0,8.0,54,603,30,trump’s cabinet travels in style at the expense of tax payers comments
545,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
546,255002,50985,137,3,11,2,0,2,2,1,110,8,55.0,8.0,53,599,30,10 shocking facts about porn you probably didnât know 10 shocking facts about porn you probably didnât know comments
547,360048,59995,145,3,11,2,0,2,1,1,95,8,95.0,8.0,56,613,30,time for tomlin to nip the national anthem chaos in the bud for the sake of the steelers future comments
548,255002,50985,137,3,11,2,0,2,2,1,110,8,55.0,8.0,53,599,30,10 shocking facts about porn you probably didnât know 10 shocking facts about porn you probably didnât know comments
549,250782,41784,44,0,5,2,0,2,2,2,84,53,42.0,26.5,16,300,28,atari reveals first new console in 24 years introducing the ataribox post navigation how powerful will it be subscribe to our mailing list
550,389862,64964,144,3,11,2,0,2,1,1,97,8,97.0,8.0,54,651,32,ashley j announces her new empowering and energetic pop single “unbreakable” releasing 10617 comments
551,230316,38373,42,0,5,2,0,2,2,1,100,29,50.0,29.0,13,287,30,gorilla and girl reunite after many years their reaction is breathtakingly beautiful post navigation subscribe to our mailing list
552,351960,58647,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,nra’s dana loesch says if guns are banned so should “feet and fists” comments
553,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
554,357366,59548,141,3,11,2,0,2,1,1,56,8,56.0,8.0,53,610,30,gov mike huckabee’s full interview with president trump comments
555,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
556,357072,59499,140,3,11,2,0,2,1,1,28,8,28.0,8.0,54,614,30,how to grow the middle class comments
557,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
558,256597,51304,138,3,11,2,0,2,1,1,49,8,49.0,8.0,54,603,30,hundreds injured as police shut down catalan vote comments
559,369162,61514,143,3,11,2,0,2,1,2,31,51,31.0,25.5,54,625,30,america needs a new news source emigrate while you still can learn more comments
560,373494,62236,147,3,11,2,0,2,1,1,50,8,50.0,8.0,53,623,30,sec of health and human services tom price resigns comments
561,277082,55401,152,3,11,3,0,3,1,1,45,8,45.0,8.0,59,669,30,2017 fantasy football idp rankings â week 4 comments
562,351222,58524,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,yiannopoulos and spencer kicked out of bar for making the nazi salute comments
563,373206,62188,139,3,11,3,0,3,1,1,81,8,81.0,8.0,54,637,32,2018 projection can the reds’ luis castillo emerge as a top 40 starting pitcher comments
564,379260,63197,144,3,11,2,0,2,1,1,49,8,49.0,8.0,55,682,32,judges topps now card sold better than expected comments
565,281917,56368,139,3,11,5,0,5,1,1,114,8,114.0,8.0,55,632,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
566,351990,58652,138,3,11,2,0,2,1,1,67,8,67.0,8.0,54,603,30,bump stocks used by las vegas shooter lauded by nra and politicians comments
567,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
568,231102,38504,42,0,5,2,0,2,2,1,90,29,45.0,29.0,13,295,31,it had bitten me and my son and didnt leave a mark several times so i thought it was a good opportunity to introduce her without actually getting hurt highlands mother who allowed snake to bite baby now facing potential charge post navigation subscribe to our mailing list
569,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
570,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
571,362460,60397,143,3,11,2,0,2,1,1,32,8,32.0,8.0,57,621,31,jetnation fanduel league week 5 comments
572,383748,63945,139,3,11,5,0,5,1,1,63,8,63.0,8.0,55,630,32,106 postseason ws beat bostonlose two to ny playoff split comments
573,268097,53604,141,3,13,3,0,3,1,1,59,8,59.0,8.0,59,629,32,australia successfully reformed gun laws why can’t the us comments
574,377106,62838,142,3,11,2,0,2,1,1,45,8,45.0,8.0,57,629,32,kevin mawae to be inducted into ring of honor comments
575,405306,67538,151,3,17,4,0,4,1,1,71,8,71.0,8.0,69,692,32,x22report is the cabal getting ready for another event episode 1393b comments
576,352038,58660,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,fema website mysteriously scrubs statistics on puerto rico’s resources comments
577,351546,58578,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,trump tells 35 million american hurricane victims youre responsible comments
578,389988,64985,138,3,11,2,0,2,1,1,64,8,64.0,8.0,54,603,30,the 2017 white sox season provided more positives than negatives comments
579,257052,51395,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,aung san suu kyi stripped of oxford honor amid ethnic cleansing claims comments
580,375012,62489,146,3,11,2,0,2,1,1,67,8,67.0,8.0,57,628,32,jets add pair of free agent defenders to front seven donahue to ir comments
581,353028,58825,138,3,11,2,0,2,1,1,69,8,69.0,8.0,54,603,30,after las vegas massacre bump stock flies off shelves at gun shops comments
582,351588,58585,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,japanese journalist died after working 159 hours of overtime comments
583,257372,51459,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,las vegas shooting makes country guitarist change his mind on guns comments
584,400410,66722,156,3,11,2,0,2,1,1,22,8,22.0,8.0,53,671,35,ravens won’t back down comments
585,382770,63782,144,3,13,3,0,3,1,1,62,8,62.0,8.0,58,636,32,california doubles down on stupidity is now a sanctuary state comments
586,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
587,369852,61629,139,3,11,3,0,3,1,1,67,8,67.0,8.0,54,635,32,bounce back or bust will albert pujols be a viable option in 2018 comments
588,264817,52948,139,3,13,3,0,3,1,1,26,8,26.0,8.0,59,627,32,amazing f16 night takeoff comments
589,324012,64787,160,3,11,2,0,2,1,1,33,8,33.0,8.0,53,693,33,ravens again abandon running game comments
590,398190,66352,153,3,11,2,0,2,1,1,11,8,11.0,8.0,60,669,32,notdoneyet comments
591,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
592,264282,52841,139,3,11,2,0,2,1,1,40,8,40.0,8.0,53,630,31,ravens vs steelers – fridaygame status comments
593,281917,56368,139,3,11,5,0,5,1,1,114,8,114.0,8.0,55,632,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
594,377046,62828,146,3,11,2,0,2,1,1,30,8,30.0,8.0,57,628,31,rams upset cowboys on the road comments
595,526914,87806,167,3,17,3,0,3,1,1,82,8,82.0,8.0,72,776,34,4chan las vegas shooter prophecy and shooter a crisis actor at sandy hook video comments
596,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
597,268092,53603,141,3,13,3,0,3,1,1,59,8,59.0,8.0,59,629,32,australia successfully reformed gun laws why can’t the us comments
598,301262,60237,140,3,11,6,0,6,1,1,92,8,92.0,8.0,56,648,32,930 trspnc era 3000 for roberto 79 clincher hbd bryan cover boy scoops game stories comments
599,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
600,365958,60980,138,3,11,3,0,3,1,1,56,8,56.0,8.0,54,624,32,saturday two to go jamo v max scherzer lineup notes comments
601,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
602,376242,62694,140,3,11,3,0,3,1,1,27,8,27.0,8.0,55,632,32,cutch rocks bucs roll 101 comments
603,261182,52221,139,3,11,2,0,2,1,1,28,8,28.0,8.0,53,618,31,ravens raiders – wednesday comments
604,256762,51337,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,snl michael che calls trump “you btch” over puerto rico response comments
605,351810,58622,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,is roy moore proof that the gop is more extremist than ever comments
606,272732,54531,150,3,11,3,0,3,1,1,54,8,54.0,8.0,59,658,30,2017 fantasy football team defense rankings â week 5 comments
607,265572,53099,136,3,11,2,0,2,1,1,61,8,61.0,8.0,54,609,31,kids fitnessget the kids off the couch have some fun comments
608,373662,62264,147,3,11,2,0,2,1,1,71,8,71.0,8.0,53,633,31,phil robertson and steve bannon appear at roy moore rally live stream comments
609,415008,69155,145,3,13,7,0,7,1,1,86,8,86.0,8.0,61,682,34,106 hbd eddie tom gene jeff joel radhames chiefs triples 20 for smiley more comments
610,261182,52221,139,3,11,2,0,2,1,1,28,8,28.0,8.0,53,618,31,ravens raiders – wednesday comments
611,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
612,393906,65638,139,3,11,6,0,6,1,1,80,8,80.0,8.0,54,669,34,waiver worthy rb edition latavius murray wayne gallman among must add options comments
613,347772,57949,136,3,11,2,0,2,1,1,64,8,64.0,8.0,53,598,30,columbus day 2017 trumps praise of columbus omits dark history comments
614,369726,61608,137,3,11,3,0,3,1,1,76,8,76.0,8.0,54,626,32,the young white sox looking at yoan moncada others getting an opportunity comments
615,370332,61709,139,3,11,3,0,3,1,1,55,8,55.0,8.0,54,636,34,quick hit will mitch trubisky be worth owning in 2018 comments
616,267997,53584,137,3,11,2,0,2,1,1,73,8,73.0,8.0,54,625,31,young dread one of the most followed artists has released his new album comments
617,390090,65002,143,3,11,2,0,2,1,1,11,8,11.0,8.0,53,630,30,crisis mode comments
618,372846,62128,150,3,11,3,0,3,1,1,49,8,49.0,8.0,59,663,30,2017 fantasy football tight end rankings – week 5 comments
619,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
620,361728,60275,139,3,11,2,0,2,1,1,6,8,6.0,8.0,54,610,30,guilty comments
621,257327,51450,138,3,11,2,0,2,1,1,59,8,59.0,8.0,54,603,30,trump on gun violence ‘we’re not going to talk about that’ comments
622,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
623,364698,60770,136,3,11,2,0,2,1,1,40,8,40.0,8.0,53,596,31,missing link music signs jazz icon najee comments
624,362832,60459,137,3,11,3,0,3,1,1,85,8,85.0,8.0,54,626,32,flash sale – preorder the rotoprofessor 2018 fantasy baseball draft guide for 575 comments
625,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
626,351708,58605,138,3,11,2,0,2,1,1,51,8,51.0,8.0,54,603,30,delusional trump thinks he invented the term ‘fake’ comments
627,351822,58624,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,the nra is responsible for mass shooting epidemic in america comments
628,258097,51604,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,employers can now refuse to pay for birth control thanks to trump comments
629,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
630,257362,51457,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,sheriff won’t charge the teens who talked about lynching a student comments
631,257197,51424,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
632,353088,58835,139,3,11,2,0,2,1,1,14,8,14.0,8.0,54,603,30,dirty gold war comments
633,257412,51467,138,3,11,2,0,2,1,1,67,8,67.0,8.0,54,603,30,trump isnt rushing to save puerto ricans because they arent white comments
634,257172,51419,138,3,11,2,0,2,1,1,58,8,58.0,8.0,54,603,30,teacher sparks outrage by asking kids to make nazi mascots comments
635,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
636,363354,60546,140,3,11,2,0,2,1,1,81,8,81.0,8.0,53,609,30,oops california’s sanctuary state status brings unintended consequences from ice comments
637,440268,73365,152,3,11,2,0,2,1,1,27,8,27.0,8.0,54,672,33,the plan to beat pittsburgh comments
638,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
639,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
640,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
641,283067,56598,138,3,11,2,0,2,1,1,33,8,33.0,8.0,54,622,32,fsu opponent preview wake forest comments
642,371058,61830,139,3,11,3,0,3,1,1,77,8,77.0,8.0,54,634,32,buy ‘em or deny ‘em is delino deshields anything more than a one trick pony comments
643,260877,52160,139,3,11,2,0,2,1,1,30,8,30.0,8.0,53,616,31,ravens vs steelers – thursday comments
644,257077,51400,138,3,11,2,0,2,1,1,60,8,60.0,8.0,54,603,30,japanese journalist died after working 159 hours of overtime comments
645,257002,51385,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,kushner’s lawyer is so smart he emailed a senate letter to a prankster comments
646,370098,61670,137,3,11,3,0,3,2,1,86,8,43.0,8.0,54,620,31,social casino opportunities and challenges social casino opportunities and challenges comments
647,353616,58923,139,3,11,2,0,2,1,1,24,8,24.0,8.0,54,603,30,in the shadow of feeling comments
648,257307,51446,138,3,11,2,0,2,1,1,70,8,70.0,8.0,54,603,30,64 yo stephen paddock identified as the gunman behind lv mass shooting comments
649,360390,60052,145,3,11,2,0,2,1,1,93,8,93.0,8.0,56,613,30,steelers wr antonio brown spends most of his friday media session praising ben roethlisberger comments
650,364308,60705,141,3,11,2,0,2,1,1,80,8,80.0,8.0,53,610,30,new star wars 8 trailer to be unveiled during … monday night football facepalm comments
651,408018,67990,137,3,11,2,0,2,1,1,94,8,94.0,8.0,54,641,32,10 important stories from 092517 box scores haniger’s big night judge makes history more comments
